NUMERO;PALABRA;TAG
1;no;ADV
2;es;AUX
3;más;ADV
4;ha;AUX
5;ya;ADV
6;ser;AUX
7;son;AUX
8;también;ADV
9;fue;AUX
10;había;AUX
11;era;AUX
12;muy;ADV
13;años;NOUN
14;hasta;ADV
15;está;AUX
16;sólo;ADV
17;han;AUX
18;hay;AUX
19;vez;NOUN
20;puede;AUX
21;así;ADV
22;parte;NOUN
23;tiene;VERB
24;bien;ADV
25;tiempo;NOUN
26;ahora;ADV
27;vida;NOUN
28;después;ADV
29;hace;VERB
30;gobierno;NOUN
31;tan;ADV
32;siempre;ADV
33;día;NOUN
34;tanto;ADV
35;sí;ADV
36;dijo;VERB
37;sido;AUX
38;gran;ADJ
39;país;NOUN
40;menos;ADV
41;mundo;NOUN
42;año;NOUN
43;antes;ADV
44;estado;NOUN
45;forma;NOUN
46;caso;NOUN
47;hacer;VERB
48;general;ADJ
49;estaba;AUX
50;poco;ADV
51;presidente;NOUN
52;mayor;ADJ
53;casa;NOUN
54;ayer;ADV
55;hecho;ADJ
56;primera;ADJ
57;mucho;ADV
58;además;ADV
59;momento;NOUN
60;millones;NOUN
61;españa;NOUN
62;hombre;NOUN
63;están;AUX
64;hoy;ADV
65;lugar;NOUN
66;madrid;NOUN
67;nacional;ADJ
68;trabajo;NOUN
69;mejor;ADV
70;nuevo;ADJ
71;decir;VERB
72;entonces;ADV
73;días;NOUN
74;debe;AUX
75;política;NOUN
76;casi;ADV
77;tal;NOUN
78;luego;ADV
79;pasado;ADJ
80;primer;ADJ
81;medio;ADV
82;va;VERB
83;sea;AUX
84;tenía;VERB
85;nunca;ADV
86;poder;NOUN
87;aquí;ADV
88;ver;VERB
89;veces;NOUN
90;embargo;NOUN
91;partido;NOUN
92;personas;NOUN
93;grupo;NOUN
94;cuenta;NOUN
95;pueden;AUX
96;tienen;VERB
97;nueva;ADJ
98;fueron;AUX
99;mujer;NOUN
100;frente;ADV
101;josé;NOUN
102;cosas;NOUN
103;fin;NOUN
104;ciudad;NOUN
105;he;AUX
106;social;ADJ
107;manera;NOUN
108;tener;VERB
109;sistema;NOUN
110;será;AUX
111;historia;NOUN
112;juan;VERB
113;tipo;NOUN
114;dentro;ADV
115;punto;NOUN
116;dice;VERB
117;noche;NOUN
118;aún;ADV
119;agua;NOUN
120;parece;AUX
121;haber;AUX
122;situación;NOUN
123;fuera;ADV
124;grandes;ADJ
125;ejemplo;NOUN
126;acuerdo;NOUN
127;habían;AUX
128;estados;NOUN
129;hizo;VERB
130;países;NOUN
131;horas;NOUN
132;posible;ADJ
133;tarde;ADV
134;ley;NOUN
135;importante;ADJ
136;guerra;NOUN
137;desarrollo;NOUN
138;proceso;NOUN
139;realidad;NOUN
140;sentido;NOUN
141;lado;NOUN
142;cambio;NOUN
